"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"33","SVE_0000860150",0.184447256492037,0.062548220443215,0,0,0.0922863545719645,0.0877995858958646,0,0,0,0,0,0
"34","SVE_0000870250",0.325881825407792,0.12781306934137,0,0,0.45468752630513,0,0.063038885441178,0.186195598269225,0.0782443411385064,0.0766151241420035,0.225239791313846,0
"35","SVE_0000881350",0.186976717538611,0.126940191924378,0,0.0653681911470718,0,0,0,0,0,0,0,0
"36","SVE_0000894350",0,0,0,0,0.0876159302815237,0,0,0,0,0,0,0
"37","SVE_0000936150",0,0,0,0,0,0.172105682102174,0,0,0,0,0.143973674988764,0
"38","SVE_0000939350",0,0,0,0,0,0,0,0.128397770322707,0,0,0,0
"39","SVE_0000940450",0,0.0666035544680718,0,0.0684824018638916,0,0,0.062866900601374,0,0.0712068355919308,0,0,0
"40","SVE_0000945750",0,0,0.0615891945429385,0.0601855717961757,0.0906970405358121,0.264966560029164,0,0,0,0,0,0
"41","SVE_0000992650",0,0,0,0,0,0,0,0.064198809184829,0,0,0,0
"42","SVE_0001000000",0,0.0660497784670904,0,0.0620195748920283,0,0,0.0645242230899795,0.126194003978323,0,0,0,0
"43","SVE_0001000100",0.0633976714819919,0.31805930682011,0.612729603215418,1.1167832983574,0,0.0897931404744156,0,0.121889675559075,0.072085258541822,0,0,0
"44","SVE_0001000200",0,0,0,0.0653048872799058,0,0.180674790354008,0.0638868692831941,0.0624994495223684,0.223713017476683,0,0,0
"45","SVE_0001000300",0.126816886447289,0.125481134640831,0,0.0622404904850606,0.0922332192993806,0.267333504008483,0,0,0.0746930476219895,0,0,0
"46","SVE_0001000400",0.128634529285176,0.126198696099157,0.124191176129996,0,0.091563908842347,0.269516685907148,0,0,0.0749600724736916,0,0,0
"47","SVE_0001000500",0.129498948919241,0.128428136264629,0.0662017781770955,0.064617559769685,0.189800327572251,0,0.128748318497405,0.125423077481185,0.0765272992722172,0.0740494053574419,0.0686916867993208,0
